Query	Explored	Native
q109961	2000.0	1927
q113925678	92000.0	117262
q11637523617	2034000.0	7521717
q155696936	133000.0	303552
q16049150	7000.0	18487
q1633681	2000.0	4380
q1771584	1000.0	3129
q183537163	222000.0	307705
q2016238	5000.0	6591
q2034610	2000.0	3520
q251068	1000.0	1857
q312148706	141000.0	368397
q315516	1000.0	2200
q354388	3000.0	3072
q38686327	29000.0	35407
q42036	2000.0	1937
q4254157	5000.0	8718
q4582	632	    632
q469	3000.0	3374
q4801	1000.0	1280
q490921	2000.0	3055
q554302	2000.0	3495
q569476	21000.0	36716
